metric_id,metric_name,metric_group,business_definition,calculation_rule,numerator,denominator,required_fields,valid_record_rule,aggregation_method,display_format,direction,suppression_rule_id,important_caveat,status
major_extreme_mortality_risk_rate,Major or Extreme Mortality-Risk Rate,Case Mix,Percentage of discharges classified as major or extreme APR risk of mortality.,Major-or-extreme risk discharges / discharges with known APR mortality risk,Major or extreme APR mortality-risk discharges,Discharges with known APR mortality risk,APR Risk of Mortality,APR mortality-risk category is known and mapped,Ratio of sums,0.0%,Context,RATE_SMALL_CELL,APR risk of mortality is not observed mortality.,APPROVED
home_discharge_rate,Home Discharge Rate,Outcomes,Percentage of eligible discharges ending in home or self care.,Home-or-self-care discharges / discharges with known eligible disposition,Discharges to Home or Self Care,Discharges with known eligible disposition,Patient Disposition,Patient disposition is known and mapped,Ratio of sums,0.0%,Context-dependent,RATE_SMALL_CELL,"The measure is influenced by severity, transfers, post-acute availability, and patient circumstances.",APPROVED
in_hospital_mortality_rate,In-Hospital Mortality Rate,Outcomes,Percentage of eligible inpatient discharges recorded as expired.,Expired discharges / discharges with known eligible disposition,Discharges recorded as Expired,Discharges with known eligible disposition,Patient Disposition,Patient disposition is known and mapped,Ratio of sums,0.0%,Lower is generally favorable after appropriate context,RATE_SMALL_CELL,Raw mortality must not be used as a hospital-quality ranking without severity and case-mix context.,APPROVED
average_apr_severity_index,Average APR Severity Index,Case Mix,Average APR severity-of-illness code among discharges with known severity.,SUM(APR severity code) / discharges with known APR severity,Sum of valid APR severity codes,Discharges with known APR severity,APR Severity of Illness Code,APR severity code is valid and known,Ratio of sums,0.00,Context,DENOMINATOR_LT_11,APR severity is ordinal; the average is a descriptive case-mix index rather than a continuous clinical scale.,APPROVED
disposition_share,Disposition Share,Outcomes,Percentage of eligible discharges belonging to the selected disposition category.,Discharges in selected disposition category / discharges with known eligible disposition,Discharges in the selected disposition category,Discharges with known eligible disposition,Patient Disposition,Patient Disposition is known and eligible,Ratio of sums,0.0%,Context; interpretation depends on disposition category,RATE_SMALL_CELL,"Disposition is influenced by severity, transfers, post-acute availability, and patient circumstances.",APPROVED
peer_expected_los_days,Peer-Expected LOS Days,Benchmarking,"Expected total LOS based on statewide peer-group mean LOS, excluding the benchmarked facility.",SUM(discharge-level leave-one-facility-out peer mean LOS),Sum of eligible peer-expected LOS values,Not applicable,Permanent Facility Id|APR DRG Code|APR Severity of Illness Code|Length of Stay,"Valid LOS, facility, APR-DRG, severity, and sufficient peers",Sum,"#,0",Context,DENOMINATOR_LT_11,This is a descriptive peer baseline—not a predicted clinical LOS.,APPROVED
los_actual_to_peer_expected_ratio,LOS Actual-to-Peer-Expected Ratio,Benchmarking,Observed LOS days divided by peer-expected LOS days.,SUM(observed LOS lower bound) / SUM(peer-expected LOS),Observed LOS days lower bound,Peer-expected LOS days,Permanent Facility Id|APR DRG Code|APR Severity of Illness Code|Length of Stay,Discharges with valid observed and expected LOS,Ratio of sums,0.00,Values above 1.00 may warrant investigation,DENOMINATOR_LT_11,Unmeasured hospital structure and case-mix differences remain.,APPROVED
excess_los_days_lower_bound,Excess LOS Days — Lower Bound,Benchmarking,Observed LOS days minus peer-expected LOS days.,SUM(observed LOS lower bound) - SUM(peer-expected LOS),Observed LOS days minus peer-expected LOS days,Not applicable,Permanent Facility Id|APR DRG Code|APR Severity of Illness Code|Length of Stay,Discharges with valid observed and expected LOS,Difference of sums,"#,0",Positive values may warrant investigation,DENOMINATOR_LT_11,Positive excess days identify variation—not preventable days.,APPROVED
peer_expected_estimated_cost,Peer-Expected Estimated Cost,Benchmarking,Expected aggregate estimated cost based on statewide leave-one-facility-out peer mean cost.,SUM(discharge-level leave-one-facility-out peer mean cost),Sum of eligible peer-expected cost values,Not applicable,Permanent Facility Id|APR DRG Code|APR Severity of Illness Code|Total Costs,"Valid estimated cost, facility, APR-DRG, severity, and sufficient peers",Sum,"$#,0",Context,DENOMINATOR_LT_11,"Estimated costs are analytical estimates, not audited expenses.",APPROVED
estimated_cost_actual_to_peer_expected_ratio,Estimated Cost Actual-to-Peer-Expected Ratio,Benchmarking,Observed estimated cost divided by peer-expected estimated cost.,SUM(observed estimated cost) / SUM(peer-expected estimated cost),Observed valid estimated cost,Peer-expected estimated cost,Permanent Facility Id|APR DRG Code|APR Severity of Illness Code|Total Costs,Discharges with valid observed and expected estimated cost,Ratio of sums,0.00,Values above 1.00 may warrant investigation,DENOMINATOR_LT_11,"Regional input prices, hospital structure, and unmeasured case mix may influence the ratio.",APPROVED
excess_estimated_cost,Excess Estimated Cost,Benchmarking,Observed estimated cost minus peer-expected estimated cost.,SUM(observed estimated cost) - SUM(peer-expected estimated cost),Observed estimated cost minus peer-expected estimated cost,Not applicable,Permanent Facility Id|APR DRG Code|APR Severity of Illness Code|Total Costs,Discharges with valid observed and expected estimated cost,Difference of sums,"$#,0",Positive values may warrant investigation,DENOMINATOR_LT_11,"Positive excess estimated cost does not prove waste, inefficiency, or preventability.",APPROVED
